/root/autodl-tmp/envs/adgs/lib/python3.9/site-packages/torch/cuda/__init__.py:51: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
scene_0255 050_2: 0 dynamic boxes, 92 SAM regions
scene_0255 050_3: 0 dynamic boxes, 92 SAM regions
scene_0255 050_4: 0 dynamic boxes, 112 SAM regions
scene_0255 050_5: 0 dynamic boxes, 85 SAM regions
scene_0255 051_0: 0 dynamic boxes, 95 SAM regions
scene_0255 051_1: 0 dynamic boxes, 85 SAM regions
scene_0255 051_2: 0 dynamic boxes, 86 SAM regions
scene_0255 051_3: 0 dynamic boxes, 89 SAM regions
scene_0255 051_4: 0 dynamic boxes, 119 SAM regions
scene_0255 051_5: 0 dynamic boxes, 88 SAM regions
scene_0255 052_0: 0 dynamic boxes, 99 SAM regions
scene_0255 052_1: 0 dynamic boxes, 86 SAM regions
scene_0255 052_2: 0 dynamic boxes, 85 SAM regions
scene_0255 052_3: 0 dynamic boxes, 86 SAM regions
scene_0255 052_4: 0 dynamic boxes, 122 SAM regions
scene_0255 052_5: 0 dynamic boxes, 95 SAM regions
scene_0255 053_0: 0 dynamic boxes, 95 SAM regions
scene_0255 053_1: 0 dynamic boxes, 100 SAM regions
scene_0255 053_2: 0 dynamic boxes, 83 SAM regions
scene_0255 053_3: 0 dynamic boxes, 82 SAM regions
scene_0255 053_4: 0 dynamic boxes, 120 SAM regions
scene_0255 053_5: 0 dynamic boxes, 90 SAM regions
scene_0255 054_0: 0 dynamic boxes, 80 SAM regions
scene_0255 054_1: 0 dynamic boxes, 91 SAM regions
scene_0255 054_2: 0 dynamic boxes, 77 SAM regions
scene_0255 054_3: 0 dynamic boxes, 81 SAM regions
scene_0255 054_4: 0 dynamic boxes, 117 SAM regions
scene_0255 054_5: 0 dynamic boxes, 83 SAM regions
scene_0255 055_0: 0 dynamic boxes, 88 SAM regions
scene_0255 055_1: 0 dynamic boxes, 95 SAM regions
scene_0255 055_2: 0 dynamic boxes, 93 SAM regions
scene_0255 055_3: 0 dynamic boxes, 84 SAM regions
scene_0255 055_4: 0 dynamic boxes, 108 SAM regions
scene_0255 055_5: 0 dynamic boxes, 87 SAM regions
scene_0255 056_0: 0 dynamic boxes, 85 SAM regions
scene_0255 056_1: 0 dynamic boxes, 72 SAM regions
scene_0255 056_2: 0 dynamic boxes, 87 SAM regions
scene_0255 056_3: 0 dynamic boxes, 90 SAM regions
scene_0255 056_4: 0 dynamic boxes, 110 SAM regions
scene_0255 056_5: 0 dynamic boxes, 84 SAM regions
scene_0255 057_0: 0 dynamic boxes, 93 SAM regions
scene_0255 057_1: 0 dynamic boxes, 87 SAM regions
scene_0255 057_2: 0 dynamic boxes, 77 SAM regions
scene_0255 057_3: 0 dynamic boxes, 95 SAM regions
scene_0255 057_4: 0 dynamic boxes, 115 SAM regions
scene_0255 057_5: 0 dynamic boxes, 79 SAM regions
scene_0255 058_0: 0 dynamic boxes, 88 SAM regions
scene_0255 058_1: 0 dynamic boxes, 85 SAM regions
scene_0255 058_2: 0 dynamic boxes, 80 SAM regions
scene_0255 058_3: 0 dynamic boxes, 90 SAM regions
scene_0255 058_4: 0 dynamic boxes, 114 SAM regions
scene_0255 058_5: 0 dynamic boxes, 82 SAM regions
scene_0255 059_0: 0 dynamic boxes, 94 SAM regions
scene_0255 059_1: 0 dynamic boxes, 90 SAM regions
scene_0255 059_2: 0 dynamic boxes, 83 SAM regions
scene_0255 059_3: 0 dynamic boxes, 94 SAM regions
scene_0255 059_4: 0 dynamic boxes, 111 SAM regions
scene_0255 059_5: 0 dynamic boxes, 78 SAM regions
scene_0255 060_0: 0 dynamic boxes, 84 SAM regions
scene_0255 060_1: 0 dynamic boxes, 93 SAM regions
scene_0255 060_2: 0 dynamic boxes, 88 SAM regions
scene_0255 060_3: 0 dynamic boxes, 88 SAM regions
scene_0255 060_4: 0 dynamic boxes, 109 SAM regions
scene_0255 060_5: 0 dynamic boxes, 87 SAM regions
